time	V(n003)
2.400000112000000e-01	1.975857e-01
2.400000128000000e-01	1.832839e-01
2.400000160000000e-01	1.538375e-01
2.400000200000000e-01	1.158126e-01
2.400000206802183e-01	1.155084e-01
2.400000215871760e-01	1.150734e-01
2.400000234010914e-01	1.141360e-01
2.400000270289221e-01	1.121625e-01
2.400000342845837e-01	1.084749e-01
2.400000450329193e-01	1.043627e-01
2.400000554801791e-01	1.022601e-01
2.400000660132592e-01	1.016035e-01
2.400000775243855e-01	1.015009e-01
2.400000961437471e-01	1.019257e-01
2.400001125927309e-01	1.028186e-01
2.400001305801836e-01	1.038864e-01
2.400001475683017e-01	1.046166e-01
2.400001707131600e-01	1.053171e-01
2.400001892240045e-01	1.057669e-01
2.400002137502903e-01	1.062460e-01
2.400002387877074e-01	1.065941e-01
2.400002657068731e-01	1.067924e-01
2.400002959200873e-01	1.068788e-01
2.400003200075751e-01	1.069017e-01
2.400003862310851e-01	1.069138e-01
2.500000000000000e-01	1.069150e-01
2.500000010000000e-01	1.081689e-01
2.500000030000000e-01	1.106905e-01
2.500000060000000e-01	1.145062e-01
2.500000100000000e-01	1.196293e-01
2.500000112000000e-01	1.196753e-01
2.500000128000000e-01	1.197247e-01
2.500000160000000e-01	1.197880e-01
2.500000224000000e-01	1.198210e-01
2.500000326877598e-01	1.197320e-01
2.500000439521788e-01	1.195246e-01
2.500000573716445e-01	1.192033e-01
2.500000786063701e-01	1.186455e-01
2.500001210758212e-01	1.175526e-01
2.500002060147234e-01	1.156883e-01
2.500003187348006e-01	1.138872e-01
2.500004236656032e-01	1.128644e-01
2.500005432125338e-01	1.122528e-01
2.500006721332999e-01	1.119376e-01
2.500008438158572e-01	1.117683e-01
2.500010557336417e-01	1.116994e-01
2.500013667820373e-01	1.116774e-01
2.500018194256096e-01	1.116735e-01
2.600000000000000e-01	1.116734e-01
2.600000010000000e-01	1.142567e-01
2.600000030000000e-01	1.194504e-01
2.600000060000000e-01	1.273038e-01
2.600000100000000e-01	1.378389e-01
2.600000104000000e-01	1.373695e-01
2.600000112000000e-01	1.364247e-01
2.600000128000000e-01	1.345086e-01
2.600000160000000e-01	1.305990e-01
2.600000200000000e-01	1.256281e-01
2.600000212000000e-01	1.255986e-01
2.600000228000000e-01	1.255498e-01
2.600000260000000e-01	1.254335e-01
2.600000324000000e-01	1.251597e-01
2.600000452000000e-01	1.245238e-01
2.600000708000000e-01	1.231677e-01
2.600001219999999e-01	1.207280e-01
2.600001678133019e-01	1.191952e-01
2.600002165528859e-01	1.182594e-01
2.600002616251259e-01	1.177016e-01
2.600003060561064e-01	1.172720e-01
2.600003412233139e-01	1.170202e-01
2.600003753026924e-01	1.168608e-01
2.600004121512683e-01	1.167572e-01
2.600004858484203e-01	1.166549e-01
2.600006177166710e-01	1.165901e-01
2.600008615484925e-01	1.165687e-01
2.600011876991720e-01	1.165675e-01
2.600018400005311e-01	1.165677e-01
2.700000000000000e-01	1.165677e-01
2.700000010000000e-01	1.178217e-01
2.700000030000000e-01	1.203436e-01
2.700000060000000e-01	1.241604e-01
2.700000100000000e-01	1.292856e-01
2.700000112000000e-01	1.293325e-01
2.700000128000000e-01	1.293831e-01
2.700000160000000e-01	1.294489e-01
2.700000224000000e-01	1.294869e-01
