Freq.	V(nc_01)
1.83653834334832e+00	(-1.51175010452357e+01dB,-5.45161743719419e-02°)
1.84077200146893e+00	(-1.51175010633840e+01dB,-5.46418470568524e-02°)
1.84501541917945e+00	(-1.51175010816160e+01dB,-5.47678094466947e-02°)
1.84926861897805e+00	(-1.51175010999322e+01dB,-5.48940622093023e-02°)
1.85353162341479e+00	(-1.51175011183330e+01dB,-5.50206060140534e-02°)
1.85780445509167e+00	(-1.51175011368187e+01dB,-5.51474415318600e-02°)
1.86208713666284e+00	(-1.51175011553897e+01dB,-5.52745694351911e-02°)
1.86637969083464e+00	(-1.51175011740465e+01dB,-5.54019903980628e-02°)
1.87068214036577e+00	(-1.51175011927893e+01dB,-5.55297050960355e-02°)
1.87499450806739e+00	(-1.51175012116187e+01dB,-5.56577142062393e-02°)
1.87931681680324e+00	(-1.51175012305350e+01dB,-5.57860184073642e-02°)
1.88364908948977e+00	(-1.51175012495385e+01dB,-5.59146183796520e-02°)
1.88799134909627e+00	(-1.51175012686299e+01dB,-5.60435148049299e-02°)
1.89234361864495e+00	(-1.51175012878093e+01dB,-5.61727083665873e-02°)
1.89670592121112e+00	(-1.51175013070772e+01dB,-5.63021997495912e-02°)
1.90107827992327e+00	(-1.51175013264341e+01dB,-5.64319896404809e-02°)
1.90546071796322e+00	(-1.51175013458804e+01dB,-5.65620787273890e-02°)
1.90985325856621e+00	(-1.51175013654164e+01dB,-5.66924677000331e-02°)
1.91425592502106e+00	(-1.51175013850426e+01dB,-5.68231572497060e-02°)
1.91866874067026e+00	(-1.51175014047593e+01dB,-5.69541480693164e-02°)
1.92309172891013e+00	(-1.51175014245671e+01dB,-5.70854408533505e-02°)
1.92752491319091e+00	(-1.51175014444663e+01dB,-5.72170362979108e-02°)
1.93196831701690e+00	(-1.51175014644574e+01dB,-5.73489351006951e-02°)
1.93642196394658e+00	(-1.51175014845407e+01dB,-5.74811379610148e-02°)
1.94088587759275e+00	(-1.51175015047167e+01dB,-5.76136455797842e-02°)
1.94536008162263e+00	(-1.51175015249859e+01dB,-5.77464586595417e-02°)
1.94984459975802e+00	(-1.51175015453486e+01dB,-5.78795779044490e-02°)
1.95433945577537e+00	(-1.51175015658053e+01dB,-5.80130040202790e-02°)
1.95884467350596e+00	(-1.51175015863564e+01dB,-5.81467377144435e-02°)
1.96336027683602e+00	(-1.51175016070024e+01dB,-5.82807796959729e-02°)
1.96788628970682e+00	(-1.51175016277437e+01dB,-5.84151306755470e-02°)
1.97242273611482e+00	(-1.51175016485807e+01dB,-5.85497913654639e-02°)
1.97696964011183e+00	(-1.51175016695139e+01dB,-5.86847624796891e-02°)
1.98152702580507e+00	(-1.51175016905437e+01dB,-5.88200447338042e-02°)
1.98609491735734e+00	(-1.51175017116706e+01dB,-5.89556388450681e-02°)
1.99067333898716e+00	(-1.51175017328951e+01dB,-5.90915455323815e-02°)
1.99526231496885e+00	(-1.51175017542174e+01dB,-5.92277655162941e-02°)
1.99986186963271e+00	(-1.51175017756382e+01dB,-5.93642995190308e-02°)
2.00447202736513e+00	(-1.51175017971579e+01dB,-5.95011482644734e-02°)
